business_name,telephone,business_page,category,website,street,locality,region,zipcode,latitude,longitude
Kosher Delight Corp,(718) 484-8881,https://www.yellowpages.com/brooklyn-ny/mip/kosher-delight-corp-511430925,"Kosher Restaurants,Chinese Restaurants,Asian Restaurants",http://brooklynsdelight.com,1636 Coney Island Ave,Brooklyn,NY,11230,40.6174392,-73.9639933
104West,(607) 867-5309,https://www.yellowpages.com/ithaca-ny/mip/104west-524907048,"Kosher Restaurants,Restaurants",http://dining.cornell.edu/campuslife/dining/104west.cfm,104 West Ave,Ithaca,NY,14850,42.44414433456078,-76.4876844352543
Ben's Kosher Delicatessen & Restaurant,(516) 621-3340,https://www.yellowpages.com/greenvale-ny/mip/bens-kosher-delicatessen-restaurant-460396386,"Delicatessens,Caterers,Restaurants",http://www.bensdeli.net,140 Wheatley Plz,Greenvale,NY,11548,40.80952,-73.62649642171617
Grill Point,(718) 261-7077,https://www.yellowpages.com/flushing-ny/mip/grill-point-9962042,"Kosher Restaurants,Middle Eastern Restaurants,Take Out Restaurants",,6954 Main St,Flushing,NY,11367,40.7654301,-73.8174291
Mendy's Kosher Delicatessen,(212) 856-9399,https://www.yellowpages.com/new-york-ny/mip/mendys-kosher-delicatessen-533135692,"Kosher Restaurants,Delicatessens,Restaurants",http://www.mendysdeli.com,109 E 42nd St,New York,NY,10017,40.75181525,-73.97671925
Monsey Take Out,(845) 425-2300,https://www.yellowpages.com/monsey-ny/mip/monsey-take-out-4432256,"Kosher Restaurants,Caterers,Take Out Restaurants",http://www.monseytakeout.com,46 Main St Ste 4,Monsey,NY,10952,41.118048,-74.05940368364077
Meisner's Kosher,(718) 338-7888,https://www.yellowpages.com/brooklyn-ny/mip/meisners-kosher-480185058,"Kosher Restaurants,Restaurants",http://www.meisnersgourmetcatering.com,2924 Avenue I,Brooklyn,NY,11210,40.628938950000006,-73.94753982680933
Second Helping Glatt Kosher Food,(718) 548-1818,https://www.yellowpages.com/bronx-ny/mip/second-helping-glatt-kosher-food-19272037,"Kosher Restaurants,Restaurants",,3532 Johnson Ave,Bronx,NY,10463,40.88600191836735,-73.90975732653061
Lipman's Kosher Market,(585) 271-7886,https://www.yellowpages.com/rochester-ny/mip/lipmans-kosher-market-2291357,"Kosher Restaurants,Delicatessens,Middle Eastern Restaurants",,1482 Monroe Ave,Rochester,NY,14618,43.133731499999996,-77.57255325
Meisner Kosher Beer & Food,(718) 336-3819,https://www.yellowpages.com/brooklyn-ny/mip/meisner-kosher-beer-food-459301496,"Kosher Restaurants,Restaurants",http://meisnersgourmetcatering.com,815 Kings Hwy,Brooklyn,NY,11223,40.606879,-73.96404004895828
