business_name,telephone,business_page,category,website,street,locality,region,zipcode,latitude,longitude
Simchat Yisrael,(203) 932-9929,https://www.yellowpages.com/west-haven-ct/mip/simchat-yisrael-3310264,"Synagogues,Churches & Places of Worship",http://www.simchatyisrael.org,870 1st Ave,West Haven,CT,6516,41.2864956,-72.9550872
National Committee,(516) 739-3636,https://www.yellowpages.com/mineola-ny/mip/national-committee-496592636,"Synagogues,Religious Organizations,Churches & Places of Worship",http://www.chabadmineola.com,261 Willis Ave,Mineola,NY,11501,40.74822865,-73.64085251585178
Temple Israel of Northern Westchester,(914) 271-4705,https://www.yellowpages.com/croton-on-hudson-ny/mip/temple-israel-of-northern-westchester-2479573,"Synagogues,Churches & Places of Worship",,Glngary Rd,Croton On Hudson,NY,10520,41.2083836,-73.8901688
Congregation Ohel Moshe Anshei Sfard,(718) 829-5861,https://www.yellowpages.com/bronx-ny/mip/congregation-ohel-moshe-anshei-sfard-453407839,"Synagogues,Churches & Places of Worship,Religious Organizations",,2163 Muliner Ave,Bronx,NY,10462,40.85554115,-73.86226174691723
Chabad Windsor Terrace,(718) 832-6400,https://www.yellowpages.com/brooklyn-ny/mip/chabad-windsor-terrace-506509132,"Synagogues,Churches & Places of Worship",http://www.chabadparkslope.com,331 13th St,Brooklyn,NY,11215,40.665583600000005,-73.98556808942308
Congregation Kahal Shatzer,(718) 871-5250,https://www.yellowpages.com/brooklyn-ny/mip/congregation-kahal-shatzer-21490305,"Synagogues,Religious Organizations",http://www.caanewburyport.org,210 Cortelyou Rd,Brooklyn,NY,11218,40.6378565,-73.9769460510795
Beth Joseph Synagogue,(518) 359-7229,https://www.yellowpages.com/tupper-lake-ny/mip/beth-joseph-synagogue-9169948,"Synagogues,Churches & Places of Worship",,Lake St,Tupper Lake,NY,12986,44.225233,-74.463483
United Synagogue,(212) 533-7800,https://www.yellowpages.com/new-york-ny/mip/united-synagogue-519732241,"Synagogues,Religious Organizations",http://www.uscj.org,120 Broadway,New York,NY,10271,40.7078716,-74.0102438
Temple Sholom,(718) 251-0370,https://www.yellowpages.com/brooklyn-ny/mip/temple-sholom-758302,"Synagogues,Churches & Places of Worship,Religious Organizations",http://ourtemplesholom.org,2075 E 68th St,Brooklyn,NY,11234,40.61888535,-73.90961156835755
Chabad Of The Five Towns,(516) 295-2478,https://www.yellowpages.com/cedarhurst-ny/mip/chabad-of-the-five-towns-597895,Synagogues,http://www.chabadfivetowns.com,74 Maple Ave,Cedarhurst,NY,11516,40.62299075,-73.7205485
