business_name,telephone,business_page,category,website,street,locality,region,zipcode
Whitesville Central School,(607) 356-3301,https://www.yellowpages.com/whitesville-ny/mip/whitesville-central-school-2957752,"Public Schools,Educational Services,Schools",http://www.whitesville.wnyric.org,692 Main St,Whitesville,NY,14897
Love In The Name of Christ,(716) 592-3761,https://www.yellowpages.com/springville-ny/mip/love-in-the-name-of-christ-482507436,Religious Organizations,http://www.loveincspringville.com,474 E Main St,Springville,NY,14141
Willseyville Community Baptst,(607) 236-4006,https://www.yellowpages.com/willseyville-ny/mip/willseyville-community-baptst-28924039,Religious Organizations,http://www.willseyvillecommunitybaptist.wordpress.com,37 Willseyville Rd,Willseyville,NY,13864
Martin Van Buren School,(518) 758-7569,https://www.yellowpages.com/kinderhook-ny/mip/martin-van-buren-school-3816876,Public Schools,http://ichabodcrane.org,25 Broad St,Kinderhook,NY,12106
Millard Fillmore Elementary School,(315) 497-2670,https://www.yellowpages.com/moravia-ny/mip/millard-fillmore-elementary-school-451896650,"Public Schools,Elementary Schools,Preschools & Kindergarten",http://www.moraviaschool.org,24 S Main St,Moravia,NY,13118
Salem Christian Fellowship Church,(315) 346-6418,https://www.yellowpages.com/beaver-falls-ny/mip/salem-christian-fellowship-church-2217627,"Religious Organizations,Christian Churches,Interdenominational Churches",http://www.salemcfc.org,9586 Beaver Falls Rd,Beaver Falls,NY,13305
Yeshiva Kinyan Torah,(845) 356-5090,https://www.yellowpages.com/monsey-ny/mip/yeshiva-kinyan-torah-504974248,,,65 College Rd,Monsey,NY,10952
Watkins Glen Central School District,(607) 535-3219,https://www.yellowpages.com/watkins-glen-ny/mip/watkins-glen-central-school-district-12686431,"Public Schools,Schools,High Schools",http://www.wgcsd.org,303 12th St,Watkins Glen,NY,14891
Christ The King Retreat House,(315) 446-2680,https://www.yellowpages.com/syracuse-ny/mip/christ-the-king-retreat-house-2278672,"Religious Organizations,Catholic Churches,Churches & Places of Worship",http://christthekingretreat.org,500 Brookford Rd,Syracuse,NY,13224
Voorheesville Central Schools Elementary School,(518) 765-2382,https://www.yellowpages.com/voorheesville-ny/mip/voorheesville-central-schools-elementary-school-8489624,"Public Schools,Educational Services,Schools",http://www.vcsdk12.org,129 Maple Ave,Voorheesville,NY,12186
Rensselaer Junior/Senior High School,(518) 436-8561,https://www.yellowpages.com/rensselaer-ny/mip/rensselaer-junior-senior-high-school-468216167,Public Schools,http://www.edlinesites.net/nojavascript.html,25 Van Rensselaer Dr,Rensselaer,NY,12144
Marcy Community Church,(315) 865-5986,https://www.yellowpages.com/marcy-ny/mip/marcy-community-church-4893137,"Religious Organizations,Community Churches,Churches & Places of Worship",,6320 State Route 291,Marcy,NY,13403
