business_name,telephone,business_page,category,website,street,locality,region,zipcode,latitude,longitude
Yeshiva Kinyan Torah,(845) 356-5090,https://www.yellowpages.com/monsey-ny/mip/yeshiva-kinyan-torah-504974248,,,65 College Rd,Monsey,NY,10952,41.118048,-74.05940368364077
Yeshiva Ketana Of Bensonhurst,(718) 336-1101,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-ketana-of-bensonhurst-14413567,"Colleges & Universities,Educational Consultants,Schools",,120 Avenue M,Brooklyn,NY,11230,40.61626135,-73.97379988550345
Flatbush Yeshiva School,(718) 377-1100,https://www.yellowpages.com/brooklyn-ny/mip/flatbush-yeshiva-school-459632333,"Public Schools,Schools",http://www.flatbush.org,1609 Avenue J,Brooklyn,NY,11230,40.62569795,-73.95989947935877
Yeshiva Derech Chaim,(718) 438-5476,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-derech-chaim-7675303,"Colleges & Universities,Schools",https://www.joyauction.org,1573 39th St,Brooklyn,NY,11218,40.637091204081635,-73.9802586122449
Yeshiva Derech Emes,(845) 425-3233,https://www.yellowpages.com/spring-valley-ny/mip/yeshiva-derech-emes-462463208,"Schools,Educational Services",,11 Neil Rd,Spring Valley,NY,10977,41.1130231,-74.0437839
Congregation Brith Hadoshah,(716) 873-8986,https://www.yellowpages.com/buffalo-ny/mip/congregation-brith-hadoshah-475167933,Religious Organizations,http://www.shalombuffalo.org,50 Alberta Dr,Buffalo,NY,14226,42.8867166,-78.8783922
Yeshiva Avir Yakov,(845) 354-6540,https://www.yellowpages.com/spring-valley-ny/mip/yeshiva-avir-yakov-536228590,"Public Schools,Schools",,26 Dr Frank Rd,Spring Valley,NY,10977,41.127403,-74.058228
American Friends Yeshiva TFRT,(718) 874-9406,https://www.yellowpages.com/airmont-ny/mip/american-friends-yeshiva-tfrt-498167362,,http://www.yeshivatiferet.com,28 Park Ave,Airmont,NY,10952,41.10039263295091,-74.07668767728316
Yeshivas Beis Dovid Shlomo,(203) 776-9237,https://www.yellowpages.com/new-haven-ct/mip/yeshivas-beis-dovid-shlomo-465327810,"Public Schools,Schools,Religious General Interest Schools",https://www.ybdsnewhaven.org,292 Norton St,New Haven,CT,6511,41.3203749,-72.9451029
Yeshiva Eitz Chayim of Hillside Inc,(646) 457-0655,https://www.yellowpages.com/hillside-nj/mip/yeshiva-eitz-chayim-of-hillside-inc-526263238,Schools,,1531 Maple Ave,Hillside,NJ,7205,40.702518090909095,-74.22054209090909
Yeshiva Kehilath Yakov Inc,(718) 486-3055,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-kehilath-yakov-inc-455572897,"Private Schools (K-12),Schools,Preschools & Kindergarten",,206 Wilson St,Brooklyn,NY,11211,40.70689745,-73.95968367480057
Yeshiva Tifereth Moshe,(718) 846-7300,https://www.yellowpages.com/kew-gardens-ny/mip/yeshiva-tifereth-moshe-2469400,"Public Schools,Schools,Educational Services",http://stylemydomain.com,8306 Abingdon Rd,Kew Gardens,NY,11415,40.7095633,-73.8307965
Yeshiva Chernobil,(718) 302-9395,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-chernobil-6283775,Schools,,274 Wallabout St,Brooklyn,NY,11206,40.7001061,-73.95194962292264
Yeshiva Viznitz Dkhal Torath Chaim,(845) 371-0300,https://www.yellowpages.com/monsey-ny/mip/yeshiva-viznitz-dkhal-torath-chaim-480179308,"Public Schools,Schools,Elementary Schools",,230 Maple Ave,Monsey,NY,10952,41.1162351655729,-74.06497991708788
Yeshiva Institute of Greater,(718) 762-7070,https://www.yellowpages.com/flushing-ny/mip/yeshiva-institute-of-greater-459597070,"Schools,Educational Services",,4300 171st St,Flushing,NY,11358,40.7654301,-73.8174291
Yeshiva Beth Israel - CLOSED,,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-beth-israel-462823214,,,90 Ross St,Brooklyn,NY,11249,40.7039211,-73.96276497972806
Yeshiva of Congregation Tzemach Tzabik Viznitz,(718) 782-6383,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-of-congregation-tzemach-tzabik-viznitz-7737137,"Public Schools,Schools",,186 Ross St,Brooklyn,NY,11211,40.706027199999994,-73.95952545889423
Yeshiva Beth Hillel Of Williamsburg,(718) 596-2111,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-beth-hillel-of-williamsburg-15031923,,,35 Hewes St,Brooklyn,NY,11249,40.7008684,-73.9621416
Yeshiva Machzikel Havas,(718) 436-4445,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-machzikel-havas-1140812,,,1601 42nd St,Brooklyn,NY,11204,40.63501015,-73.98114204999999
Yeshiva Of Central Queens,(718) 793-1295,https://www.yellowpages.com/flushing-ny/mip/yeshiva-of-central-queens-512511,"Religious Organizations,Private Schools (K-12),Religious General Interest Schools",http://www.ycqweb.com,14737 70th Rd,Flushing,NY,11367,40.7654301,-73.8174291
Yeshiva Of New Haven,(203) 777-2200,https://www.yellowpages.com/new-haven-ct/mip/yeshiva-of-new-haven-464867491,"Public Schools,Schools,Elementary Schools",,765 Elm St,New Haven,CT,6511,41.316895349999996,-72.94684506202267
Yeshiva Ketana Shaarei Torah,(718) 236-4100,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-ketana-shaarei-torah-472227229,"Public Schools,Schools",http://ykb.com,2025 67th St,Brooklyn,NY,11204,40.615049400000004,-73.98608915
Yeshiva Of Staten Island,(718) 356-4323,https://www.yellowpages.com/staten-island-ny/mip/yeshiva-of-staten-island-1944784,"Public Schools,Schools,Private Schools (K-12)",http://ymht.org,1870 Drumgoole Rd E,Staten Island,NY,10309,40.5275431,-74.2143894
Yeshiva Tiseres Elimelech,(718) 375-1152,https://www.yellowpages.com/brooklyn-ny/mip/yeshiva-tiseres-elimelech-482732082,Clergy,,1656 E 9th St,Brooklyn,NY,11223,40.6082807,-73.96428730847859
